path,value
$.contracts[*].suppliers[*].name,Приховано
$.contracts[*].suppliers[*].name_en,Hidden
$.contracts[*].suppliers[*].name_ru,Приховано
$.contracts[*].suppliers[*].identifier.id,Приховано
$.contracts[*].suppliers[*].identifier.legalName,Приховано
$.contracts[*].suppliers[*].identifier.legalName_en,Hidden
$.contracts[*].suppliers[*].identifier.legalName_ru,Приховано
$.contracts[*].suppliers[*].identifier.uri,Приховано
$.contracts[*].suppliers[*].additionalIdentifiers[*].id,Приховано
$.contracts[*].suppliers[*].additionalIdentifiers[*].legalName,Приховано
$.contracts[*].suppliers[*].additionalIdentifiers[*].legalName_en,Hidden
$.contracts[*].suppliers[*].additionalIdentifiers[*].legalName_ru,Приховано
$.contracts[*].suppliers[*].additionalIdentifiers[*].uri,Приховано
$.contracts[*].suppliers[*].address.streetAddress,Приховано
$.contracts[*].suppliers[*].address.locality,Приховано
$.contracts[*].suppliers[*].address.region,Приховано
$.contracts[*].suppliers[*].address.postalCode,Приховано
$.contracts[*].suppliers[*].address.countryName,Приховано
$.contracts[*].suppliers[*].address.countryName_en,Hidden
$.contracts[*].suppliers[*].address.countryName_ru,Приховано
$.contracts[*].suppliers[*].contactPoint.telephone,Приховано
$.contracts[*].suppliers[*].contactPoint.email,Приховано
$.contracts[*].suppliers[*].contactPoint.faxNumber,Приховано
$.contracts[*].suppliers[*].contactPoint.url,Приховано
$.contracts[*].suppliers[*].contactPoint.name,Приховано
$.contracts[*].suppliers[*].contactPoint.name_en,Hidden
$.contracts[*].suppliers[*].contactPoint.name_ru,Приховано
$.contracts[*].suppliers[*].additionalContactPoints[*].telephone,Приховано
$.contracts[*].suppliers[*].additionalContactPoints[*].email,Приховано
$.contracts[*].suppliers[*].additionalContactPoints[*].faxNumber,Приховано
$.contracts[*].suppliers[*].additionalContactPoints[*].url,Приховано
$.contracts[*].suppliers[*].additionalContactPoints[*].name,Приховано
$.contracts[*].suppliers[*].additionalContactPoints[*].name_en,Hidden
$.contracts[*].suppliers[*].additionalContactPoints[*].name_ru,Приховано
$.documents[*].title,Приховано
$.documents[*].url,Приховано
$.contracts[*].documents[*].title,Приховано
$.contracts[*].documents[*].url,Приховано
$.contracts[*].milestones[*].documents[*].title,Приховано
$.contracts[*].milestones[*].documents[*].url,Приховано
