name,values,default
hasAuction,true,true
hasAwardingOrder,true,true
hasValueRestriction,false,false
valueCurrencyEquality,true,true
hasPrequalification,true,true
minBidsNumber,2,2
hasPreSelectionAgreement,false,false
hasTenderComplaints,false,false
hasAwardComplaints,false,false
hasCancellationComplaints,false,false
hasValueEstimation,false,false
hasQualificationComplaints,false,false
tenderComplainRegulation,0,0
qualificationComplainDuration,0,0
awardComplainDuration,0,0
cancellationComplainDuration,0,0
clarificationUntilDuration,5,5
qualificationDuration,10,10
minTenderingDuration,20,20
hasEnquiries,false,false
minEnquiriesDuration,0,0
enquiryPeriodRegulation,10,10
restricted,false,false
