name,values,default,days
hasAuction,false,false,
hasAwardingOrder,true,true,
hasValueRestriction,true,true,
valueCurrencyEquality,true,true,
hasPrequalification,true,true,
minBidsNumber,3,3,
hasPreSelectionAgreement,false,false,
hasTenderComplaints,true,true,
hasAwardComplaints,false,false,
hasCancellationComplaints,true,true,
hasValueEstimation,true,true,
hasQualificationComplaints,true,true,
tenderComplainRegulation,4,4,calendar
qualificationComplainDuration,5,5,calendar
awardComplainDuration,0,0,
cancellationComplainDuration,10,10,
clarificationUntilDuration,3,3,working
qualificationDuration,20,20,
minTenderingDuration,30,30,calendar
hasEnquiries,false,false,
minEnquiriesDuration,0,0,
enquiryPeriodRegulation,10,10,calendar
restricted,false,false,
