procurementMethodType,values,default
aboveThreshold,5,5
competitiveOrdering,5,5
competitiveOrdering.short,5,5
competitiveOrdering.long,5,5
aboveThresholdEU,10,10
aboveThresholdUA.defense,4,4
aboveThresholdUA,10,10
belowThreshold,2,2
closeFrameworkAgreementSelectionUA,0,0
closeFrameworkAgreementUA,10,10
competitiveDialogueEU,0,0
competitiveDialogueEU.stage2,10,10
competitiveDialogueUA,0,0
competitiveDialogueUA.stage2,10,10
esco,10,10
negotiation,10,10
negotiation.quick,5,5
priceQuotation,0,0
reporting,0,0
simple.defense,4,4
requestForProposal,2,2
