procurementMethodType,values,default,days
aboveThreshold,3,3,calendar
competitiveOrdering,0 / 3,0,
competitiveOrdering.short,0,0,
competitiveOrdering.long,3,3,calendar
aboveThresholdEU,3,3,working
aboveThresholdUA.defense,3,3,working
aboveThresholdUA,3,3,working
belowThreshold,1,1,working
closeFrameworkAgreementSelectionUA,0,0,
closeFrameworkAgreementUA,3,3,working
competitiveDialogueEU,3,3,working
competitiveDialogueEU.stage2,3,3,working
competitiveDialogueUA,3,3,working
competitiveDialogueUA.stage2,3,3,working
esco,3,3,working
negotiation,0,0,
negotiation.quick,0,0,
priceQuotation,0,0,
reporting,0,0,
simple.defense,3,3,working
requestForProposal,4,4,calendar
