procurementMethodType,values,default
aboveThreshold,false,false
competitiveOrdering,true,true
competitiveOrdering.short,true,true
competitiveOrdering.long,true,true
aboveThresholdEU,false,false
aboveThresholdUA.defense,false,false
aboveThresholdUA,false,false
belowThreshold,false,false
closeFrameworkAgreementSelectionUA,true,true
closeFrameworkAgreementUA,false,false
competitiveDialogueEU,false,false
competitiveDialogueEU.stage2,false,false
competitiveDialogueUA,false,false
competitiveDialogueUA.stage2,false,false
esco,false,false
negotiation,false,false
negotiation.quick,false,false
priceQuotation,true,true
reporting,false,false
simple.defense,false,false
requestForProposal,true / false,false
