procurementMethodType,values,default
aboveThreshold,false,false
competitiveOrdering,false,false
aboveThresholdEU,true,true
aboveThresholdUA.defense,false,false
aboveThresholdUA,false,false
belowThreshold,"true,false",false
closeFrameworkAgreementSelectionUA,false,false
closeFrameworkAgreementUA,true,true
competitiveDialogueEU,true,true
competitiveDialogueEU.stage2,true,true
competitiveDialogueUA,true,true
competitiveDialogueUA.stage2,false,false
esco,true,true
negotiation,false,false
negotiation.quick,false,false
priceQuotation,false,false
reporting,false,false
simple.defense,false,false
requestForProposal,"true,false",false
