procurementMethodType,values,default,days
aboveThreshold,0,0,
competitiveOrdering,0,0,
competitiveOrdering.short,0,0,
competitiveOrdering.long,0,0,
aboveThresholdEU,0,0,
aboveThresholdUA.defense,0,0,
aboveThresholdUA,0,0,
belowThreshold,3,3,working
closeFrameworkAgreementSelectionUA,1,1,calendar
closeFrameworkAgreementUA,0,0,
competitiveDialogueEU,0,0,
competitiveDialogueEU.stage2,0,0,
competitiveDialogueUA,0,0,
competitiveDialogueUA.stage2,0,0,
esco,0,0,
negotiation,0,0,
negotiation.quick,0,0,
priceQuotation,0,0,
reporting,0,0,
simple.defense,0,0,
requestForProposal,3,3,calendar
