procurementMethodType,values,default,days
aboveThreshold,0,0,
competitiveOrdering,0,0,
competitiveOrdering.short,0,0,
competitiveOrdering.long,0,0,
aboveThresholdEU,5,5,calendar
aboveThresholdUA.defense,0,0,
aboveThresholdUA,0,0,
belowThreshold,0,0,
closeFrameworkAgreementSelectionUA,0,0,
closeFrameworkAgreementUA,5,5,calendar
competitiveDialogueEU,5,5,calendar
competitiveDialogueEU.stage2,5,5,calendar
competitiveDialogueUA,5,5,calendar
competitiveDialogueUA.stage2,0,0,
esco,5,5,calendar
negotiation,0,0,
negotiation.quick,0,0,
priceQuotation,0,0,
reporting,0,0,
simple.defense,0,0,
requestForProposal,,10,working
