name,values,default
hasAuction,false,false
hasAwardingOrder,true,true
hasValueRestriction,true,true
valueCurrencyEquality,true,true
hasPrequalification,false,false
minBidsNumber,1,1
hasPreSelectionAgreement,false,false
hasTenderComplaints,false,false
hasAwardComplaints,true,true
hasCancellationComplaints,true,true
hasValueEstimation,true,true
hasQualificationComplaints,false,false
tenderComplainRegulation,0,0
qualificationComplainDuration,0,0
awardComplainDuration,10,10
cancellationComplainDuration,10,10
clarificationUntilDuration,0,0
qualificationDuration,0,0
restricted,false,false
