name,values,default
hasAuction,"true,false",true
hasAwardingOrder,true,true
hasValueRestriction,true,true
valueCurrencyEquality,true,true
hasPrequalification,true,true
minBidsNumber,2,2
hasPreSelectionAgreement,false,false
hasTenderComplaints,true,true
hasAwardComplaints,true,true
hasCancellationComplaints,true,true
hasValueEstimation,true,true
hasQualificationComplaints,true,true
tenderComplainRegulation,4,4
qualificationComplainDuration,5,5
awardComplainDuration,10,10
cancellationComplainDuration,10,10
clarificationUntilDuration,3,3
qualificationDuration,20,20
restricted,false,false
