rolename,status,numberOfBids,description,auctionUrl,auctionPeriod,title_en,description_en,date,lot_guarantee,id,__parent__,guarantee,lot_value,title,minimalStep,lot_minimalStep,value,title_ru,description_ru
chronograph,,,,,1,,,,,1,,,,,,,,,
auction_view,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
Administrator,,,,,1,,,,,,,,,,,,,,
embedded,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
chronograph_view,1,1,,,1,,,,,1,,,,,,,,,
default,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
auction_patch,,,,1,,,,,,1,,,,,,,,,
create,,,1,,,1,1,,,1,,1,,1,1,,1,1,1
edit,,,1,,,1,1,,,,,1,,1,1,,1,1,1
view,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1
