rolename,__parent__,tenderers,date,id,value,participationUrl,owner_token,owner,documents,financialDocuments,eligibilityDocuments,qualificationDocuments,lotValues,selfQualified,selfEligible,subcontractingDetails,parameters,status
complete,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
unsuccessful,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
active.awarded,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
active.qualification,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
view,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
embedded,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
active.enquiries,,,,,,,,,,,,,,,,,,
active.tendering,,,,,,,,,,,,,,,,,,
Administrator,,1,,,,,,,,,,,,,,,,
create,,1,,,1,,,,1,1,1,1,1,1,1,1,1,1
edit,,1,,,1,,,,,,,,1,,,1,1,1
auction_view,,,1,1,1,1,,,,,,,1,,,,1,1
auction_post,,,1,1,1,,,,,,,,1,,,,,
auction_patch,,,,1,,1,,,,,,,1,,,,,
active.pre-qualification,,1,,1,,,,,1,,1,,,,,,,1
active.pre-qualification.stand-still,,1,,1,,,,,1,,1,,,,,,,1
active.auction,,1,,1,,,,,1,,1,,,,,,,1
bid.unsuccessful,,1,,1,,,,,1,,1,,,1,1,1,1,1
cancelled,,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1
invalid,,,,1,,,,,,,,,,,,,,1
invalid.pre-qualification,,1,,1,,,,,1,,1,,,,,,,1
deleted,,,,1,,,,,,,,,,,,,,1
