rolename,status,numberOfBids,lot_value,description,title,minimalStep,auctionPeriod,title_en,description_en,auctionUrl,lot_minimalStep,value,title_ru,date,lot_guarantee,description_ru,id,__parent__,guarantee
chronograph,,,,,,,1,,,,,,,,,,1,,
auction_view,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
Administrator,,,,,,,1,,,,,,,,,,,,
embedded,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
chronograph_view,1,1,,,,,1,,,,,,,,,,1,,
default,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
auction_patch,,,,,,,,,,1,,,,,,,1,,
create,,,,1,1,,,1,1,,,,1,,,1,1,,1
edit,,,,1,1,1,,1,1,,1,,1,,,1,,,1
view,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
edit_active.enquiries,,,,1,1,1,,1,1,,1,,1,,1,1,,,1
