rolename,funders,procurementMethod,awardPeriod,procurementMethodRationale_ru,complaintPeriod,auctionUrl,enquiryPeriod,_rev,serializable_guarantee,submissionMethod,complaints,title_en,submissionMethodDetails_ru,next_check,awardCriteria,questions,owner,serializable_minimalStep,qualifications,__parent__,revisions,documents,title,lots,qualificationPeriod,eligibilityCriteria_en,procuringEntity,owner_token,tenderID,numberOfBidders,procurementMethodRationale,procurementMethodRationale_en,description_ru,dateModified,agreements,status,awardCriteriaDetails_ru,tenderPeriod,eligibilityCriteria,description,value,auctionPeriod,procurementMethodType,description_en,eligibilityCriteria_ru,awards,features,date,awardCriteriaDetails_en,serializable_value,doc_type,serializable_enquiryPeriod,guarantee,submissionMethodDetails,items,mainProcurementCategory,milestones,bids,cancellations,awardCriteriaDetails,_attachments,numberOfBids,minimalStep,mode,title_ru,_id,doc_id,submissionMethodDetails_en,hasEnquiries,maxAwardsCount,agreementDuration,contractPeriod,procurementMethodDetails
active.qualification.stand-still,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1
chronograph,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
edit_draft,1,,,1,1,,,,1,,,1,1,1,,,,1,,,,,1,,1,1,1,,,1,1,1,1,,1,,1,1,1,1,1,,,1,1,,1,,1,1,,1,1,1,1,1,1,,,1,,1,1,,1,,,1,1,1,1,,1
edit,1,,,1,1,,,,1,,,1,1,1,,,,1,,,,,1,,1,1,1,,,1,1,1,1,,1,,1,1,1,1,1,,,1,1,,1,,1,1,,1,1,1,1,1,1,,,1,,1,1,,1,,,1,1,1,1,,1
active.awarded,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1
edit_cancelled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
contracting,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
unsuccessful,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1
edit_active.pre-qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
auction_view,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,1,,,,,1,,,,,,,,1,1,1,1,,,,,1,,,,,,,,,,1
Administrator,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1
edit_complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
create,1,,,1,1,,,,1,,,1,1,1,,,,1,,,,,1,1,1,1,1,,,1,1,1,1,,1,,1,1,1,1,1,,1,1,1,,1,,1,1,,1,1,1,1,1,1,,,1,,1,1,1,1,,,1,1,1,1,,1
edit_unsuccessful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
auction_post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
active.tendering,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,,1,1,1,,1,1,1,1,1,,1
listing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1
draft,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,,,1,1,1,,1,1,1,1,1,1,1
complete,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1
auction_patch,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1
cancelled,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1
active.pre-qualification,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1
chronograph_view,,,1,,,,1,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,1,,,,1,,,,,,,,1,,,,,,,,1,,1,,,1,,,,,,1
active.qualification,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1
edit_active.awarded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
embedded,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1
edit_active.auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
edit_active.tendering,1,,,1,1,,,,1,,,1,1,1,,,,1,,,,,1,,1,1,1,,,1,1,1,1,,1,,1,1,1,1,1,,,1,1,,1,,1,1,,1,1,1,1,1,1,,,1,,1,1,,1,,,1,1,1,1,,1
plain,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1
default,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
active.auction,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1
active.pre-qualification.stand-still,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,1
edit_active.qualification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
edit_active.pre-qualification.stand-still,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
view,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,1
